group,tool_name,capability
artifact-integrity-issue,poutine,untrusted_checkout_exec
artifact-integrity-issue,zizmor,artipacked | cache-poisoning
hardening-gap-issue,scorecard,ci-tests | sast
hardening-gap-issue,zizmor,use-trusted-publishing
control-flow-issue,actionlint,always-true-if-condition | comparison-type-checks | syntax-check-expression | type-check-expression
control-flow-issue,poutine,if_always_true
control-flow-issue,zizmor,unsound-contains
injection-issue,actionlint,deprecated-workflow-commands | untrusted-inputs
injection-issue,poutine,debug_enabled | injection | unverified_script_exec
injection-issue,semgrep,allowed-unsecure-commands | run-shell-injection
injection-issue,zizmor,github-env | insecure-commands | template-injection
known-vulnerable-component-issue,poutine,known_vulnerability_in_build_component | known_vulnerability_in_build_platform
known-vulnerable-component-issue,zizmor,known-vulnerable-actions
excessive-permission-issue,actionlint,permissions-Check
excessive-permission-issue,poutine,default_permissions_on_risky_events
excessive-permission-issue,scorecard,token-permissions
excessive-permission-issue,zizmor,excessive-permissions
unpinned-dependency-issue,frizbee,unpinned-container-images | unpinned-docker-compose-images | unpinned-dockerfiles | unpinned-github-actions | unpinned-kubernetes-images
unpinned-dependency-issue,pinny,unpinned-dockerfile-images | unpinned-github-actions
unpinned-dependency-issue,poutine,unpinnable_action
unpinned-dependency-issue,scharf,unpinned-github-actions
unpinned-dependency-issue,scorecard,pinned-dependencies
unpinned-dependency-issue,zizmor,forbidden-uses | impostor-commit | ref-confusion | stale-action-refs | unpinned-images | unpinned-uses
secrets-exposure-issue,actionlint,hardcoded-credentials
secrets-exposure-issue,ggshield,secret-detection
secrets-exposure-issue,poutine,job_all_secrets
secrets-exposure-issue,zizmor,hardcoded-container-credentials | overprovisioned-secrets | secrets-inherit | unredacted-secrets
trigger-misuse-issue,poutine,github_action_from_unverified_creator_used | pr_runs_on_self_hosted
trigger-misuse-issue,scorecard,dangerous-workflow
trigger-misuse-issue,semgrep,pull-request-target-code-checkout
trigger-misuse-issue,zizmor,bot-conditions | dangerous-triggers | self-hosted-runner
github-runner-compatibility-issue,actionlint,action-format-check | action-metadata-syntax | context-and-function-availability | contexts-and-builtin-functions | contextual-matrix-object | contextual-needs-object | contextual-step-object | cron-syntax-check | empty-mapping | env-var-names | glob-pattern-syntax | id-naming-convention | job-dependencies-Check | job-step-id-uniqueness | local-action-inputs-Check | matrix-values | missing-required-or-duplicate-keys | popular-action-inputs-Check | pyflakes-integration | reusable-workflow-Check | runner-label-Check | shell-name-Check | shellcheck-integration | unexpected-keys | unexpected-mapping-values | webhook-events-Check | workflow-dispatch-Check | outdated-popular-actions-detection
github-runner-compatibility-issue,zizmor,obfuscation
