capability,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
action-format-check,1,0,0,0,0,0,0,0,0
action-metadata-syntax,1,0,0,0,0,0,0,0,0
allowed-unsecure-commands,0,0,0,0,0,0,0,1,0
always-true-if-condition,1,0,0,0,0,0,0,0,0
artipacked,0,0,0,0,0,0,0,0,1
bot-conditions,0,0,0,0,0,0,0,0,1
cache-poisoning,0,0,0,0,0,0,0,0,1
ci-tests,0,0,0,0,0,0,1,0,0
comparison-type-checks,1,0,0,0,0,0,0,0,0
context-and-function-availability,1,0,0,0,0,0,0,0,0
contexts-and-builtin-functions,1,0,0,0,0,0,0,0,0
contextual-matrix-object,1,0,0,0,0,0,0,0,0
contextual-needs-object,1,0,0,0,0,0,0,0,0
contextual-step-object,1,0,0,0,0,0,0,0,0
cron-syntax-check,1,0,0,0,0,0,0,0,0
dangerous-triggers,0,0,0,0,0,0,0,0,1
dangerous-workflow,0,0,0,0,0,0,1,0,0
debug_enabled,0,0,0,0,1,0,0,0,0
default_permissions_on_risky_events,0,0,0,0,1,0,0,0,0
deprecated-workflow-commands,1,0,0,0,0,0,0,0,0
empty-mapping,1,0,0,0,0,0,0,0,0
env-var-names,1,0,0,0,0,0,0,0,0
excessive-permissions,0,0,0,0,0,0,0,0,1
forbidden-uses,0,0,0,0,0,0,0,0,1
github-env,0,0,0,0,0,0,0,0,1
github_action_from_unverified_creator_used,0,0,0,0,1,0,0,0,0
glob-pattern-syntax,1,0,0,0,0,0,0,0,0
hardcoded-container-credentials,0,0,0,0,0,0,0,0,1
hardcoded-credentials,1,0,0,0,0,0,0,0,0
id-naming-convention,1,0,0,0,0,0,0,0,0
if_always_true,0,0,0,0,1,0,0,0,0
impostor-commit,0,0,0,0,0,0,0,0,1
injection,0,0,0,0,1,0,0,0,0
insecure-commands,0,0,0,0,0,0,0,0,1
job-dependencies-Check,1,0,0,0,0,0,0,0,0
job-step-id-uniqueness,1,0,0,0,0,0,0,0,0
job_all_secrets,0,0,0,0,1,0,0,0,0
known-vulnerable-actions,0,0,0,0,0,0,0,0,1
known_vulnerability_in_build_component,0,0,0,0,1,0,0,0,0
known_vulnerability_in_build_platform,0,0,0,0,1,0,0,0,0
local-action-inputs-Check,1,0,0,0,0,0,0,0,0
matrix-values,1,0,0,0,0,0,0,0,0
missing-required-or-duplicate-keys,1,0,0,0,0,0,0,0,0
obfuscation,0,0,0,0,0,0,0,0,1
outdated-popular-actions-detection,1,0,0,0,0,0,0,0,0
overprovisioned-secrets,0,0,0,0,0,0,0,0,1
permissions-Check,1,0,0,0,0,0,0,0,0
pinned-dependencies,0,0,0,0,0,0,1,0,0
popular-action-inputs-Check,1,0,0,0,0,0,0,0,0
pr_runs_on_self_hosted,0,0,0,0,1,0,0,0,0
pull-request-target-code-checkout,0,0,0,0,0,0,0,1,0
pyflakes-integration,1,0,0,0,0,0,0,0,0
ref-confusion,0,0,0,0,0,0,0,0,1
reusable-workflow-Check,1,0,0,0,0,0,0,0,0
run-shell-injection,0,0,0,0,0,0,0,1,0
runner-label-Check,1,0,0,0,0,0,0,0,0
sast,0,0,0,0,0,0,1,0,0
secret-detection,0,0,1,0,0,0,0,0,0
secrets-inherit,0,0,0,0,0,0,0,0,1
self-hosted-runner,0,0,0,0,0,0,0,0,1
shell-name-Check,1,0,0,0,0,0,0,0,0
shellcheck-integration,1,0,0,0,0,0,0,0,0
stale-action-refs,0,0,0,0,0,0,0,0,1
syntax-check-expression,1,0,0,0,0,0,0,0,0
template-injection,0,0,0,0,0,0,0,0,1
token-permissions,0,0,0,0,0,0,1,0,0
type-check-expression,1,0,0,0,0,0,0,0,0
unexpected-keys,1,0,0,0,0,0,0,0,0
unexpected-mapping-values,1,0,0,0,0,0,0,0,0
unpinnable_action,0,0,0,0,1,0,0,0,0
unpinned-container-images,0,1,0,0,0,0,0,0,0
unpinned-docker-compose-images,0,1,0,0,0,0,0,0,0
unpinned-dockerfile-images,0,0,0,1,0,0,0,0,0
unpinned-dockerfiles,0,1,0,0,0,0,0,0,0
unpinned-github-actions,0,1,0,1,0,1,0,0,0
unpinned-images,0,0,0,0,0,0,0,0,1
unpinned-kubernetes-images,0,1,0,0,0,0,0,0,0
unpinned-uses,0,0,0,0,0,0,0,0,1
unredacted-secrets,0,0,0,0,0,0,0,0,1
unsound-contains,0,0,0,0,0,0,0,0,1
untrusted-inputs,1,0,0,0,0,0,0,0,0
untrusted_checkout_exec,0,0,0,0,1,0,0,0,0
unverified_script_exec,0,0,0,0,1,0,0,0,0
use-trusted-publishing,0,0,0,0,0,0,0,0,1
webhook-events-Check,1,0,0,0,0,0,0,0,0
workflow-dispatch-Check,1,0,0,0,0,0,0,0,0
