,actionlint,frizbee,ggshield,pinny,poutine,scharf,scorecard,semgrep,zizmor
actionlint,1.0,0.284037558685446,0.0,0.24955752212389382,0.19339622641509435,0.27313769751693,0.27318718381112983,0.12435233160621761,0.3046875
frizbee,0.284037558685446,1.0,0.0025974025974025974,0.692167577413479,0.15254237288135594,0.9528535980148883,0.6492411467116358,0.09181141439205956,0.6843100189035917
ggshield,0.0,0.0025974025974025974,1.0,0.001838235294117647,0.0,0.0024875621890547263,0.0016863406408094434,0.0,0.001976284584980237
pinny,0.24955752212389382,0.692167577413479,0.001838235294117647,1.0,0.16087751371115175,0.72,0.9077181208053692,0.09908256880733946,0.8103448275862069
poutine,0.19339622641509435,0.15254237288135594,0.0,0.16087751371115175,1.0,0.15456674473067916,0.15345699831365936,0.25862068965517243,0.17519685039370078
scharf,0.27313769751693,0.9528535980148883,0.0024875621890547263,0.72,0.15456674473067916,1.0,0.6779089376053963,0.09592326139088729,0.706766917293233
scorecard,0.27318718381112983,0.6492411467116358,0.0016863406408094434,0.9077181208053692,0.15345699831365936,0.6779089376053963,1.0,0.09274873524451939,0.8470588235294118
semgrep,0.12435233160621761,0.09181141439205956,0.0,0.09908256880733946,0.25862068965517243,0.09592326139088729,0.09274873524451939,1.0,0.10869565217391304
zizmor,0.3046875,0.6843100189035917,0.001976284584980237,0.8103448275862069,0.17519685039370078,0.706766917293233,0.8470588235294118,0.10869565217391304,1.0
